number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_no_object_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
35,0.9130794701986755,2026-04-20 15:05:16.682228,2026-04-20 15:09:46.495543,0 days 00:04:29.813315,0.5985264097261301,4,101.65033603086744,93.35453692126771,94.39908115418368,12.292749347075727,0.8581454878735111,0.6335731144617898,49.514116397226545,30.142606327723975,COMPLETE
36,0.8327814569536424,2026-04-20 15:05:34.047062,2026-04-20 15:08:25.488698,0 days 00:02:51.441636,0.6023733778035382,1,105.79214671092029,88.1524924665863,78.5059520311649,17.200406777836463,0.8578359942928854,0.6108488551236045,49.41509257064236,30.900697770748177,COMPLETE
37,0.8576158940397351,2026-04-20 15:05:55.309333,2026-04-20 15:08:34.400791,0 days 00:02:39.091458,0.5941731354595758,1,105.59393579482638,87.91325957644207,94.18991666062092,39.27631988203515,0.8565016505021501,0.616443383779285,49.097346153339906,30.05900969316225,COMPLETE
38,0.7326158940397351,2026-04-20 15:06:35.361514,2026-04-20 15:09:13.442929,0 days 00:02:38.081415,0.5986935456728617,1,105.6164464236822,87.93751493810333,77.3248327363302,10.502338051210359,0.8573764008923219,0.6171260958671562,49.954177301379225,40.344887627542995,COMPLETE
39,0.8327814569536424,2026-04-20 15:06:44.380156,2026-04-20 15:09:12.826587,0 days 00:02:28.446431,0.5997546005646623,1,105.51649421577984,87.93906872615474,75.33648649197931,88.69749187327513,0.8559380116469737,0.6046878204555914,49.31391118977746,30.27917795749427,COMPLETE
40,0.5331125827814569,2026-04-20 15:07:00.216498,2026-04-20 15:11:36.096132,0 days 00:04:35.879634,0.5972326291995577,4,105.5058990972026,88.3729074258003,78.04892138130708,21.75791642257107,0.8546509698326346,0.605550333354532,49.732344226273874,42.97447999048269,COMPLETE
41,0.9205298013245033,2026-04-20 15:07:19.590605,2026-04-20 15:11:40.925461,0 days 00:04:21.334856,0.6107405863210784,4,101.4903234699856,88.28099730147343,100.09415366163633,19.16436790328541,0.8553421253806711,0.6742047482374631,49.621476037211224,30.002838480638797,COMPLETE
42,0.9039735099337748,2026-04-20 15:07:23.888921,2026-04-20 15:11:46.088185,0 days 00:04:22.199264,0.6053868422433586,4,100.04896013444574,87.93306271579306,102.52478492991304,13.771662645243651,0.8559945505130123,0.6694148141711199,52.77093187826606,30.11410612403474,COMPLETE
43,0.9172185430463576,2026-04-20 15:07:34.936405,2026-04-20 15:11:44.587378,0 days 00:04:09.650973,0.6012286238710741,4,102.07963659814573,88.12118756231199,105.29483328196105,44.424339170664545,0.8544975173855172,0.6728324495159731,52.04774009890056,30.5509520403014,COMPLETE
44,0.9238410596026491,2026-04-20 15:07:36.111917,2026-04-20 15:11:50.150184,0 days 00:04:14.038267,0.6040632145926276,4,102.18361905424524,88.18583677937495,95.008725152852,109.799878470288,0.8605521149014718,0.6728590479211256,52.90085788330871,31.100317418896516,COMPLETE
