number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_no_object_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
53,0.8845029239766082,2026-04-17 14:43:26.126995,2026-04-17 14:45:42.484242,0 days 00:02:16.357247,0.6960033943121505,4,105.39546950233668,86.21578832254195,92.12539814178783,234.83560452115802,0.8128351761487166,0.5837215125738336,54.55675105121967,39.56643276408446,COMPLETE
54,0.9049707602339181,2026-04-17 14:43:28.916028,2026-04-17 14:45:41.218897,0 days 00:02:12.302869,0.6884469177889363,4,105.1643828544235,86.07229083905872,91.23070893024789,217.26823922260917,0.8184275148165888,0.5876595999166487,54.423801686137175,35.32377474919389,COMPLETE
55,0.9042397660818714,2026-04-17 14:43:38.692062,2026-04-17 14:45:49.915059,0 days 00:02:11.222997,0.6387165318118649,4,105.30370117704013,86.23509573307022,91.64807081489859,227.4595829677442,0.8154519259549844,0.586426070816968,43.70974189435883,35.05193346023431,COMPLETE
56,0.9049707602339181,2026-04-17 14:43:45.929885,2026-04-17 14:45:54.081148,0 days 00:02:08.151263,0.6422028745872513,4,104.66670456762932,86.36614319030059,91.04877579511434,225.7455657895672,0.8156832351008021,0.5867701027320191,54.939179978962,35.17476691843758,COMPLETE
57,0.9005847953216374,2026-04-17 14:43:50.816723,2026-04-17 14:45:58.427190,0 days 00:02:07.610467,0.5892562208037251,4,104.95777076523603,86.32627180691051,90.16414724919355,995.5263339659966,0.8180756761593629,0.5900405246397513,42.08925891548048,35.075318598659976,COMPLETE
58,0.9144736842105263,2026-04-17 14:43:55.892484,2026-04-17 14:45:58.949901,0 days 00:02:03.057417,0.6392797872876899,4,104.6982692675195,86.30203523224978,90.488768608325,815.4574899126974,0.8140162174835153,0.5842352210422938,46.9748195266125,35.363806535358606,COMPLETE
59,0.8969298245614035,2026-04-17 14:44:20.010676,2026-04-17 14:46:38.680312,0 days 00:02:18.669636,0.5973912885506049,5,105.14541225138389,86.58417317274657,90.98561442396566,843.1208298620029,0.8132447940035132,0.5858781979649713,42.06193788803522,35.132798207090005,COMPLETE
60,0.8837719298245614,2026-04-17 14:44:22.586031,2026-04-17 14:46:37.270026,0 days 00:02:14.683995,0.5976830635986482,5,105.12845836502964,86.43242079751568,91.34664087266634,857.8895640566675,0.8144517017703309,0.5912220704882596,41.90361557060804,34.045505800787275,COMPLETE
61,0.9166666666666666,2026-04-17 14:44:30.660953,2026-04-17 14:46:49.271605,0 days 00:02:18.610652,0.5905206295862668,5,104.98433892995408,86.3181372838331,89.58756342109494,984.5559081776087,0.8147909428030459,0.6784544806479337,47.24611081230254,34.23523722987504,COMPLETE
62,0.9159356725146199,2026-04-17 14:44:35.468477,2026-04-17 14:46:52.530158,0 days 00:02:17.061681,0.5879726898108856,5,104.88847624857918,86.5786057380003,89.0181136629419,982.004659242318,0.8164926129782887,0.6069110455774969,46.7384973231323,34.595379576058015,COMPLETE
63,0.8735380116959064,2026-04-17 14:44:43.716432,2026-04-17 14:47:02.122109,0 days 00:02:18.405677,0.5880904696465727,5,104.96509795813698,86.3792419283599,88.01455214860147,866.2637735066584,0.7730759275378256,0.6351479418774294,42.240675245285615,34.600480665029544,COMPLETE
64,0.8442982456140351,2026-04-17 14:44:43.908191,2026-04-17 14:47:02.114784,0 days 00:02:18.206593,0.5909126962872256,5,104.62817258806604,86.44476125320827,88.51891185568591,837.2262230816503,0.7730086394151059,0.6753828296681964,41.83485096698938,34.015174733590776,COMPLETE
65,0.8530701754385965,2026-04-17 14:44:46.904908,2026-04-17 14:47:05.387165,0 days 00:02:18.482257,0.5909550198055316,5,104.58827971149765,86.356334046307,88.20619776731108,986.1400661036529,0.7734713756366206,0.6051909065942482,41.92055297600015,33.90875666845586,COMPLETE
66,0.8611111111111112,2026-04-17 14:45:07.504165,2026-04-17 14:47:24.566154,0 days 00:02:17.061989,0.5889117589567598,5,104.30968969635443,86.49796492506977,86.9328612795701,992.2208807657474,0.773598797830463,0.6049726586118427,42.008636203321586,34.010465092025,COMPLETE
67,0.8991228070175439,2026-04-17 14:45:24.678926,2026-04-17 14:47:52.249624,0 days 00:02:27.570698,0.6363289379864481,5,104.44310890470412,86.5458500737492,89.0147628536538,827.8303483836394,0.8196441509546777,0.5968321458359486,42.084693419054396,34.17009310067927,COMPLETE
