epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,58.2786,0.72262,0.951,0.88096,0.91019,0.96019,0.98173,0.64624,1.18274,1.03405,1.00732,0.0007328,0.0007328,0.0007328
66,59.5231,0.66194,0.89343,0.86991,0.94865,0.97242,0.98971,0.63998,1.20253,0.96357,1.01633,0.000713,0.000713,0.000713
67,60.7548,0.65751,1.05164,0.9323,0.94865,0.97242,0.98971,0.63998,1.20253,0.96357,1.01633,0.0006932,0.0006932,0.0006932
68,61.8397,0.71384,0.9725,0.89345,0.96871,0.97777,0.9917,0.63039,1.23843,0.92465,1.02941,0.0006734,0.0006734,0.0006734
69,62.6409,0.697,1.02243,0.88191,0.96871,0.97777,0.9917,0.63039,1.23843,0.92465,1.02941,0.0006536,0.0006536,0.0006536
70,63.4278,0.66755,0.97788,0.88944,1,0.99529,0.995,0.63233,1.21788,0.83056,1.0209,0.0006338,0.0006338,0.0006338
71,64.2161,0.66195,0.89619,0.87634,1,0.99529,0.995,0.63233,1.21788,0.83056,1.0209,0.000614,0.000614,0.000614
72,64.994,0.67663,1.17912,0.90229,0.98949,0.99122,0.9949,0.64079,1.20871,0.78226,1.02287,0.0005942,0.0005942,0.0005942
73,65.7736,0.73546,1.07768,0.89437,0.98949,0.99122,0.9949,0.64079,1.20871,0.78226,1.02287,0.0005744,0.0005744,0.0005744
74,66.571,0.62948,0.85441,0.86443,1,0.98887,0.9949,0.6516,1.2027,0.72091,1.02524,0.0005546,0.0005546,0.0005546
75,67.3709,0.58139,0.89277,0.84676,1,0.98887,0.9949,0.6516,1.2027,0.72091,1.02524,0.0005348,0.0005348,0.0005348
76,68.1898,0.58173,0.85964,0.82606,1,0.99592,0.995,0.65263,1.20496,0.67242,1.03233,0.000515,0.000515,0.000515
77,68.9976,0.58896,0.78767,0.87312,1,0.99592,0.995,0.65263,1.20496,0.67242,1.03233,0.0004952,0.0004952,0.0004952
78,69.8495,0.53511,0.83415,0.85594,0.99979,1,0.995,0.64265,1.2422,0.65478,1.05269,0.0004754,0.0004754,0.0004754
79,70.6854,0.60911,0.75055,0.85266,0.99979,1,0.995,0.64265,1.2422,0.65478,1.05269,0.0004556,0.0004556,0.0004556
80,71.4838,0.64568,0.92158,0.83904,0.99831,1,0.995,0.63666,1.26107,0.6563,1.05921,0.0004358,0.0004358,0.0004358
81,72.711,0.66178,0.92442,0.88874,0.99831,1,0.995,0.63666,1.26107,0.6563,1.05921,0.000416,0.000416,0.000416
82,73.9966,0.61078,0.9055,0.86519,0.99683,1,0.995,0.62883,1.26694,0.65673,1.0589,0.0003962,0.0003962,0.0003962
83,75.0169,0.61072,0.75556,0.84081,0.99683,1,0.995,0.62883,1.26694,0.65673,1.0589,0.0003764,0.0003764,0.0003764
84,75.8224,0.52256,0.70919,0.85709,0.99812,1,0.995,0.6252,1.27867,0.63858,1.06646,0.0003566,0.0003566,0.0003566
85,76.6366,0.62753,0.84891,0.84976,0.99812,1,0.995,0.6252,1.27867,0.63858,1.06646,0.0003368,0.0003368,0.0003368
86,77.4935,0.70098,0.89446,0.93361,0.9997,1,0.995,0.62718,1.29426,0.62542,1.07349,0.000317,0.000317,0.000317
87,78.2826,0.63992,0.72757,0.84397,0.9997,1,0.995,0.62718,1.29426,0.62542,1.07349,0.0002972,0.0002972,0.0002972
88,79.0923,0.61623,0.82732,0.86497,1,1,0.995,0.62864,1.30421,0.61323,1.08064,0.0002774,0.0002774,0.0002774
89,79.8465,0.57766,0.80185,0.85964,1,1,0.995,0.62864,1.30421,0.61323,1.08064,0.0002576,0.0002576,0.0002576
90,80.6533,0.60804,0.8935,0.87919,0.99977,1,0.995,0.62489,1.30608,0.60435,1.08129,0.0002378,0.0002378,0.0002378
91,82.5106,0.67466,1.0074,0.89098,0.99977,1,0.995,0.62489,1.30608,0.60435,1.08129,0.000218,0.000218,0.000218
